id,Question,Response
14109,danny tell me what you re thinking .,i m thinking someone got away with murder .
14110,i m thinking someone got away with murder .,how ?
14111,shhh . you know what i hear ?,what ?
14112,this is evanna the team pilot .,nice to meet you . gum ?
14113,can t they shut that off ?,that s the red ball alarm .
14114,there s thousands of units like this one .,they re everywhere .
14115,it doesn t matter . he wins .,we can stop him .
14116,there a maid in this hotel ?,i don t know why ?
14117,how many ?,none . this was arranged .
14118,he looks familiar .,who ?
14119,raincheck ?,sure . raincheck .
14120,howard,i forgot my glasses .
14121,my name is danny witwer . i m,i know who you are .
14122,this your work ?,yes .
14123,i like it .,thanks . you take anything in your coffee ?
14124,thanks . you take anything in your coffee ?,cream and sugar .
14125,cream and sugar .,i don t have any cream . sorry .
14126,we used to every summer .,he s not here now is he ?
14127,so you haven t seen his apartment ?,that was our apartment .
14128,that was our apartment .,have you been there recently ?
14129,since right after we lost our son .,you mean after he lost your son .
14130,you mean after he lost your son .,it was nobody s fault .
14131,it was nobody s fault .,but john was with him at the pool ?
14132,but john was with him at the pool ?,yes .
14133,you know i need to use you .,to what ? trap him ?
14134,nice to meet you wally .,shhh ! they re sleeping .
14135,shhh ! they re sleeping .,tell me how all this works .
14136,they ve never been separated before .,what does he want with a precog ?
14137,you re bobby right ?,yeah .
14138,no thank you .,you sure ? i just made it .
14139,snifter are for warm drinks,yeah snifters are for cognac
14140,yeah snifters are for cognac,when served warm
14141,we have snifters,then put my martel s in a snifter .
14142,yes sir .,is it a good room ?
14143,is it a good room ?,i can take you down there .
14144,are you sure ?,yeah . take it .
14145,yeah . take it .,thank you very much sir .
14146,thank you very much sir .,so ?
14147,so ?,what sir ?
14148,what sir ?,is it the good room ?
14149,is it the good room ?,all the suites are about the same .
14150,honestly the suites are all about the same .,what if i gave you forty ?
14151,thank you sir .,where s the place to go tonight ?
14152,where s the place to go tonight ?,as far as . . . ?
14153,as far as . . . ?,nightlife . where s the hot ass ?
14154,nightlife . where s the hot ass ?,women ?
14155,it s on west broadway .,see you later .
14156,so wait you re from where ?,manhattan .
14157,manhattan .,you girls aren t from brooklyn or anything ?
14158,you girls aren t from brooklyn or anything ?,no .
14159,we re in fashion .,so you re models ?
14160,is he cute ?,he s okay .
14161,he s okay .,should i fuck him ?
14162,he s great right . is he great ?,he s alright .
14163,he s alright .,i know .
14164,oh no . what is it this time .,we used to take baths together .
14165,we used to take baths together .,come on . let s go .
14166,nobody s fuckin talking to you .,and how could you fucking leave horrace hanging ?
14167,ricky s not wearing one .,ricky can you put on a seat belt ?
14168,a elephant seal . where s mommy ?,she s uh sleeping .
14169,she s uh sleeping .,it s daytime .
14170,no .,show uncle ricky what you made .
14171,what s wrong baby ?,he s not doing it .
14172,you re not my daddy .,you gonna bust my horns or you want spaghetti
14173,you gonna bust my horns or you want spaghetti,i want spaghettis .
14174,hello .,chloe ?
14175,chloe ?,uncle bobby ?
14176,i don t know .,mommy s not home ?
14177,mommy s not home ?,no .
14178,no .,what time is it there ?
14179,what time is it there ?,can you take me to color me mine ?
14180,honey ?,where were you ?
14181,who s watching the baby ?,she s downstairs with ruth . get ready .
14182,she s downstairs with ruth . get ready .,i m ready .
14183,you talk to max today ?,i m not gonna mention ricky to him .
14184,i feel weird asking him .,you shouldn t . he likes you .
14185,yeah ? you sure ?,go .
14186,i ll support you .,with what ?
14187,with what ?,max offered to stake me .
14188,i never promised you anything .,how could you let her see this ?
14189,how could you let her see this ?,goodbye bobby .
14190,take her .,what d you say ?
14191,what d you say ?,i want you to take her with you .
14192,whu,there s no touching .
14193,there s no touching .,but what about them ?
14194,i had a fight up at sportsman s .,well you look it . you win ?
14195,well you look it . you win ?,draw .
14196,draw .,what s your record at ?
14197,what s your record at ?,.
14198,what s up ? jess ready ?,you driving her ?
14199,you driving her ?,yeah .
14200,yeah .,she ll be out in a minute .
14201,c mon girl . eat up .,get away from her .
14202,get away from her .,excuse
14203,no .,brooklyn .
14204,brooklyn .,yeah ?
14205,yeah ?,he must have that shit troughed .
14206,he must have that shit troughed .,what do you mean troughed ?
14207,where we going ?,quick drop . in and out .
14208,quick drop . in and out .,where s ricky ?
14209,where s ricky ?,ricky s taken care of .
14210,ricky s taken care of .,how so ?
14211,that it ?,that s it .
14212,this is it .,where s ricky .
14213,you like the ponies ?,sure . yeah .
14214,sure . yeah .,you bet the ponies ?
14215,you bet the ponies ?,me ? no . not really .
14216,pshhh . . .,a million . easy .
14217,a million . easy .,she was fast huh ?
14218,i ll work it off .,not driving jess you won t .
14219,not driving jess you won t .,what ?
14220,so that s it . i m out ?,i didn t say that .
14221,i didn t say that .,then what are you saying ?
14222,yeah . sorry .,i got a way we make everybody happy .
14223,i got a way we make everybody happy .,yeah .
14224,ricky ? ricky i lost the truck ricky ?,you told him you liked him .
14225,yes .,what is it ?
14226,what is it ?,you want
14227,you want,not you . i want ricky to answer .
14228,there won t be a next thing .,take a few days
14229,what s the plan ?,tom the welsh dude
14230,hi . i uh think that s us .,hi . i m jimmy .
14231,hi . i m jimmy .,bobby .
14232,nah .,traveling light . i like that .
14233,where is the soho grand ?,soho .
14234,harlem ? what is it a restaurant ?,you don t know where you re going ?
14235,you don t know where you re going ?,no . just the cross streets .
14236,no . just the cross streets .,well this is the corner .
14237,i can wait around if you want .,no . that s cool man .
14238,spa ?,yeah .
14239,yeah .,depends what night .
14240,yeah ?,understand me ?
14241,understand me ?,yeah .
14242,aren t we waiting for ricky ?,ricky s taken care of .
14243,ricky s taken care of .,taken care of ?
14244,taken care of ?,yeah he s getting there on his own .
14245,excuse me we need to make a call .,i m on the phone .
14246,i m on the phone .,it s important .
14247,we re with ruiz .,ruiz isn t here .
14248,can you check ?,he s not here .
14249,any time bro .,thanks .
14250,did max mention anything about any jobs ?,what about boxing ?
14251,what about boxing ?,what about it ?
14252,what about it ?,what are you saying ?
14253,so ?,so it was a draw .
14254,so it was a draw .,yeah i m and .
14255,yeah i m and .,so it s not a winning record .
14256,so it s not a winning record .,it s not losing record .
14257,don t be shitty .,how am i being shitty ?
14258,how am i being shitty ?,don t be shitty .
14259,i got no idea .,ask if he said anything to her .
14260,ask if he said anything to her .,i will .
14261,i will .,i ll page you with the number .
14262,i ll page you with the number .,bye .
14263,then why do you try to get in ?,fuck them .
14264,fuck them .,shhh . . .
14265,we need guns .,we don t need guns .
14266,we don t need guns .,i think we might .
14267,i think we might .,he didn t say we need guns .
14268,he didn t say we need guns .,he implied it .
14269,you wanna go right now ?,i ll beat your ass
14270,sorry coach .,sorry coach .
14271,we look good this year .,we ll kill fairfax this year .
14272,i like it .,it s not even yours .
14273,it s not even yours .,i like it .
14274,what ? did she say something ?,she wants you to paint the ashtray .
14275,who s driving her ?,i don t know .
14276,i don t know .,this paint sucks . the white shows through .
14277,right here s fine .,is that the woman from . . ?
14278,is that the woman from . . ?,she really liked the kitchen .
14279,it s ours .,to keep ?
14280,holy shit . can you believe this ?,pretty nice .
14281,what s the movie ?,i ll get the girl .
14282,i ll get the girl .,nah don t bother
14283,maybe we should call for a cab .,no . look . there .
14284,cardiff giant . that s us .,you sure ?
14285,who you calling ?,shhh . . . hello room service ?
14286,shhh . . . hello room service ?,c mon man . . .
14287,how much was it ?,forty six .
14288,forty six .,jesus man . plus ten ?
14289,jesus man . plus ten ?,yeah i guess .
14290,yeah i guess .,great . on my fucking room .
14291,what are you doing ?,what are you doing ?
14292,what are you doing ?,i know you re not calling jimmy .
14293,what exactly did they say ?,they said a hundred thirty fifth and twelfth .
14294,they said a hundred thirty fifth and twelfth .,they didn t say an address ?
14295,they didn t say an address ?,i told you what they said .
14296,i told you what they said .,nothing else .
14297,nothing else .,nothing .
14298,nothing .,how d they know who you were ?
14299,how d they know who you were ?,they asked who it was .
14300,they asked who it was .,so they said more than the address .
14301,this is bullshit man .,what the fuck do you . . .
14302,sold it stole it whatever . . .,motherfucker . . .
14303,what the fuck is that supposed,i mean that s what i heard
14304,i mean that s what i heard,you got something to say
14305,what did i get ?,yeah . what vibe ?
14306,so is this the drop ?,like i said i don t know .
14307,like i said i don t know .,he woulda told us right ?
14308,he woulda told us right ?,you would think .
14309,yeah .,so we re working ?
14310,you happy ?,about what ?
14311,about what ?,why you gotta make everything difficult ?
14312,why you gotta make everything difficult ?,you too ?
14313,where do you think you re going ?,back in .
14314,back in .,you fucking nuts ?
14315,you fucking nuts ?,work s over . i m gonna party .
14316,what the fuck was that about ?,she was jonesing for me .
14317,what s up ?,he wants to see us now .
14318,he wants to see us now .,where ?
14319,we re getting whacked .,we re not getting whacked .
14320,put that shit out . . .,c mon man . . .
14321,c mon man . . .,i swear to god i ll fucking puke .
14322,i swear to god i ll fucking puke .,hey jimmy where they taking us ?
14323,hey jimmy where they taking us ?,yeah . where they gonna whack us ?
14324,nothing man .,you want us strapped don t you ?
14325,let s do it .,i m your soldier .
14326,let s check out the penguins .,the what ?
14327,the what ?,the penguin house .
14328,yeah . let s look at the penguins .,did you hear what he just said ?
14329,we need guns .,we don t need guns .
14330,we don t need guns .,i m pretty sure we do .
14331,it was six in the fucking morning .,float me a hundred bucks .
14332,float me a hundred bucks .,why ?
14333,you re out of money ?,no .
14334,no .,what do you have left ?
14335,what do you have left ?,eighty .
14336,eighty .,eighty bucks ? ! ?
14337,eighty bucks ? ! ?,eighty five .
14338,eighty five .,what happened to the fifteen hundred ?
14339,it s gonna be fine .,no more man .
14340,so what do we do ?,let s just go now and wait .
14341,let s just go now and wait .,three and a half hours ?
14342,holy shit . get me back to manhattan .,take us right to kennedy . now .
14343,no . i ll wait here .,i ll be a minute .
14344,hey boys .,tom . how s it going ?
14345,bobby and ricky .,right right . the thugs .
14346,c mon . . .,fuck . . .
14347,we rep lines ? you know ? fashion ?,and you grew up in manhattan ?
14348,and you grew up in manhattan ?,kinda . yeah .
14349,kinda . yeah .,what do you mean kinda ?
14350,where s the surprise ?,you want your surprise ?
14351,you want your surprise ?,yeah . i want it .
14352,i want to leave right now .,i didn t do anything
14353,yeah . ricky slade .,you see a ricky slade ?
14354,cardiff giant ?,what ?
14355,what ?,cardiff giant . just check .
14356,cardiff giant . just check .,maybe you wanna try the china club .
14357,what s up man .,s up .
14358,a little .,you look good man .
14359,you look good man .,cool . see you later .
14360,cool . see you later .,cool .
14361,yes ?,yeah uh what s the movie ?
14362,yeah sure . how much are they ?,how much is what ?
14363,how much is what ?,the videos .
14364,yes ?,drinks are free right ?
14365,drinks are free right ?,yes . would you care for another one ?
14366,yes . would you care for another one ?,yes .
14367,yes .,where do you live ?
14368,where do you live ?,excuse me .
14369,excuse me .,where do you live ?
14370,you strapped ?,strapped ?
14371,strapped ?,it means you got a gun ?
14372,why ? what i say bad ?,what the fuck red dragon ?
14373,what the fuck red dragon ?,what ? why am i bad ?
14374,see you later .,you really in trouble ?
14375,you really in trouble ?,stop .
14376,stop .,i ll tell him someone else told me .
14377,i ll tell him someone else told me .,just don t ask me no more shit .
14378,ow shit . . .,watch it . . .
14379,and where is . . . ?,ruiz ? oh he ain t here .
14380,ruiz ? oh he ain t here .,no ?
14381,no shit ?,does anyone want another ?
14382,does anyone want another ?,you want another drink ?
14383,sure . anyplace in particular ?,i hear the china club is a laugh .
14384,what do you want ?,a little charlie perhaps .
14385,a little charlie perhaps .,coke ?
14386,no really mate ?,here . . .
14387,here they are then .,how s it going ?
14388,how s it going ?,brilliantly . care for a pint ?
14389,good morning .,you think this shit s funny ho ?
14390,you think this shit s funny ho ?,nah man . . .
14391,nah man . . .,you think it s funny motherfucker ?
14392,ricky .,soho grand right ?
14393,is it nice ?,the soho grand ?
14394,the soho grand ?,yeah .
14395,yeah .,you re from la right ?
14396,you re from la right ?,yeah .
14397,yeah .,you ll love it .
14398,so you re our own private guy ?,i handle most of cardiff giant s stuff .
14399,i handle most of cardiff giant s stuff .,you know my pager number ?
14400,you know my pager number ?,no . what is it ?
14401,a lot of persians ?,not usually . mostly trustafarians .
14402,i call em wiggers .,different .
14403,sure . you boys want anything ?,yeah bring us four fernet .
14404,yeah bring us four fernet .,four fernet .
14405,we re square .,thanks man . you need anything you call .
14406,thanks man . you need anything you call .,thanks .
14407,thanks .,you rode ?
14408,we re going to new york ?,yes . you re going to new york .
14409,that money is your per diem .,and where do we bring it ?
14410,keys .,what ?
14411,what ?,what about my keys ?
14412,i get it .,tell me .
14413,tell me .,don t worry . i get it .
14414,don t worry . i get it .,so tell me how it is .
14415,so wait what are we dropping off ?,goodbye .
14416,but max,we re square .
14417,we re square .,yes sir .
14418,who s gonna outfit us ?,outfit ? what s he talking about ?
14419,yeah .,what ?
14420,edinburgh .,and where might that be ?
14421,and where might that be ?,scotland .
14422,i am .,a rose by any other name would
14423,what they call you ?,red and i ain t no punk .
14424,i m working trains . selling .,bet you like that shit .
14425,bet you like that shit .,keeps me out of the army .
14426,heard where ?,where i come from . boston .
14427,man s rep travels .,how bout that ?
14428,is your papa west indian ?,no my mama . she s from grenada .
14429,no my mama . she s from grenada .,i like you country .
14430,did you just now con me ?,yes sir .
14431,yes sir .,why ?
14432,when ?,just now .
14433,how s it feel ?,solid daddy .
14434,i told you less paper less trouble .,i m working on it .
14435,it hit ?,nnnnnnn !
14436,. i git em all ?,i ll take your goddam bet .
14437,daddy where s my money ?,what you talking ?
14438,what you talking ?,you owe me six big ones .
14439,hit didn t it ?,you din t have no .
14440,you never had it .,the bitch was there .
14441,you know it .,i ll give you back the .
14442,i ll give you back the .,i don t want your money .
14443,i don t want your money .,i m wearing archie .
14444,i m wearing archie .,there s two guns on you .
14445,let billie finish .,now .
14446,take it easy baby .,that really you red ?
14447,yeah got to do something about you .,you putting a hurtin on my vision .
14448,okay okay .,don t con me .
14449,don t con me .,what do you do with your time ?
14450,i want to bembry but i can t .,the hardest and the greatest .
14451,the hardest and the greatest .,i can t .
14452,i want to bembry but i can t .,the hardest and the greatest .
14453,tell him that .,i don t know how .
14454,is the program ready ?,no brother minister .
14455,what ?,she ate .
14456,how do you like it ?,delicious .
14457,let s talk about you for a change .,there s nothing to talk about .
14458,why do you ask ?,just an idle question .
14459,i m in detroit .,i know .
14460,yes .,did you hear what i said ?
14461,yes . did you eat ?,i love you .
14462,it won t be easy .,just hold me .
14463,just hold me .,it will be rough .
14464,it will be rough .,hush your mouth .
14465,hush your mouth .,i ll be away a lot .
14466,why are you looking at me like that ?,because you re in trouble .
14467,because you re in trouble .,how do you know ?
14468,talk about what ?,the talk is everywhere !
14469,we need you too !,what do you want me to do ?
14470,get some sleep .,you have to sleep for three .
14471,dear heart where are you ?,at the hilton . the girls asleep ?
14472,i m tired of praying .,that s enough brother earl .
14473,i assumed . . .,what did i tell you about assuming ?
14474,let s cancel .,is my family here yet ?
14475,is my family here yet ?,down front as always .
14476,they were hebrew weren t they ?,that s right .
14477,just what is your question ?,what color were the original hebrews ?
14478,did you see the papers today ?,yes sir i did .
14479,can i ask you something ?,sure man .
14480,sure man .,are you elijah s pimp ?
14481,are you elijah s pimp ?,what ?
14482,what ?,his greatest greatness .
14483,his greatest greatness .,say what you re saying .
14484,i say a lot of things .,and like a fool i believe it .
14485,bout every other night red .,with him ?
14486,she know ?,if she got eyes she do .
14487,fourteen counts of to years .,the sentences to run concurrently .
14488,lo . i ve got to freshen up .,now you come back .
14489,i better not come in .,i ain t stupid .
14490,i ain t stupid .,i mean it s late baby .
14491,i mean it s late baby .,i know where you re going .
14492,murder .,there is a serious question as to whether
14493,get out .,your control over your children therefore
14494,your control over your children therefore,did you hear me ? !
14495,did you hear me ? !,you ll regret this mrs . little .
14496,how many you turning out ?,.
14497,thank you brother sister how are you ?,please make way please
14498,another one ?,how long has this been going on ?
14499,what does sidney say ?,i m with you brother minister .
14500,i m with you brother minister .,no . you ll be marked for death .
14501,no . you ll be marked for death .,let me die then .
14502,you re my father .,and don t come back .
14503,sheeet you ain t . i had aplenty .,. . .that isn t a whore ?
14504,you like em scrambled soft or hard sweetie ?,c mere .
14505,sweetie they re almost ready .,you hear me girl ?
14506,you the man .,you better believe it .
14507,you evil this morning .,what s your story baby ?
14508,me ?,you will baby if the time come .
14509,you will baby if the time come .,lemme feed you sweetie while they hot .
14510,baby i was gonna give it to you .,well bitch you move too slow .
14511,well all right then .,well all reet then .
14512,hey man gimme some skin .,shorty this is laura .
14513,that s a fine chick .,fine as may wine .
14514,you re too small to be bogart .,i m not too short to be cagney .
14515,yeah and get a slave too huh baby ?,i ain t doing bad .
14516,that ain t bad .,tell him about baldy .
14517,what did you do homey palm it ?,yeah .
14518,palmed it right in the goddam chamber .,jesus christ homey you are nuts .
14519,so what about him ?,so ? the man got silver china rugs
14520,so ? the man got silver china rugs,might be all right .
14521,you want to be the head man ?,that s right .
14522,that s right .,head nigger in charge ?
14523,head nigger in charge ?,i m the man .
14524,who the hell are they ?,brothers of brother johnson .
14525,brothers of brother johnson .,eddie let s see that blotter .
14526,he told you that ?,yes sir .
14527,yes sir .,are you sure ?
14528,he s bright .,they talked about me like
14529,am i a suspect ?,no . it would be convenient but no .
14530,where are you coming from ?,south america .
14531,south america .,where are you staying in mexico ?
14532,where are you staying in mexico ?,i m on to juarez .
14533,i m on to juarez .,why ?
14534,why ?,i have a friend there .
14535,a lot of people are looking for you .,i guess that makes you the smart one .
14536,where do i find you ?,i ll call you tomorrow .
14537,i show you give me the information ?,deal .
14538,deal .,where ?
14539,reina rosas .,si .
14540,si .,how do you contact the boss ?
14541,what is his name ?,daniel .
14542,daniel .,daniel what ?
14543,what is his name ?,aurillio rosas sanchez .
14544,what s the pin number ?,the what ?
14545,the what ?,the number you use at the bank machine .
14546,the number you use at the bank machine .,four seven four seven .
14547,four seven four seven .,who killed her ? you ?
14548,who killed her ? you ?,no !
14549,no !,don t lie to me .
14550,don t lie to me .,the boss did or his brother .
14551,the boss did or his brother .,who s the boss ?
14552,who s tazinari ?,head of the anti kidnapping division .
14553,drive .,do you know who i am ?
14554,do you know who i am ?,you are jorge ramirez .
14555,do you know who i am ?,who are you ?
14556,who are you ?,i am the president of la hermanidad .
14557,who ordered it ?,the cops call him the dreamer .
14558,the cops call him the dreamer .,where do i find him ?
14559,where do i find him ?,i don t know . no one knows .
14560,i don t know i swear .,i believe you .
14561,who s he ?,the one who transferred pinta to their car .
14562,mr . creasy . what do you want ?,i want you .
14563,how much do you want ?,it s non negotiable .
14564,what do you mean ?,her life for your life .
14565,the girl s . pinta s .,you re a liar . pinta s dead .
14566,and ?,and i had my men ready .
14567,and i had my men ready .,you stole the drop .
14568,yes . many times .,o .k . so tell me more .
14569,o .k . so tell me more .,there was no ten million dollars .
14570,there was no ten million dollars .,the ransom was ten .
14571,who gave the bags to ramos ?,his lawyer . jordan kalfus .
14572,were you provided with a gun ?,yes .
14573,yes .,show me please .
14574,what is it ?,nine millimeter . a sig sauer .
14575,nine millimeter . a sig sauer .,have you used this type before ?
14576,is it loaded ?,it s loaded .
14577,i drink .,how does it affect you ?
14578,i m here .,what do you mean i m here ?
14579,so what s wrong ?,nothing wrong .
14580,nothing wrong .,don t give me that bullshit .
14581,you did something on impulse ?,everything happens once if you live long enough .
14582,what are you doing here ?,i came to visit you .
14583,creasy ?,sorry i woke you ray .
14584,do you like dogs mr . creasy ?,if they like me .
14585,creasy . just call me creasy .,creasy . . .
14586,where are you from creasy ?,the united states .
14587,the united states .,i know . but which state ?
14588,no .,why not ?
14589,why not ?,i m looking for potential .
14590,let me guess you wouldn t stop talking ?,someone gave him more money than we could .
14591,someone gave him more money than we could .,i m a bargain .
14592,we re taking a different way home .,that s right .
14593,did you like school creasy ?,no .
14594,no .,not at all ?
14595,not at all ?,no .
14596,no .,but why not ?
14597,and don t start crying .,i m not crying .
14598,pinta do you have a pencil ?,i go to school don t i ?
14599,do you think he ll come back ?,maybe . did you hear him ?
14600,maybe . did you hear him ?,no .
14601,no .,how do you think he got out ?
14602,how do you think he got out ?,well i let him go .
14603,well i let him go .,it s better to be free right ?
14604,it s better to be free right ?,yes . actually he was driving me crazy .
14605,it hurts .,where ?
14606,where ?,everywhere !
14607,did you sleep alright ?,yes .
14608,doesn t matter . i always finish second .,you need to practice .
14609,it must be difficult having lots of wives .,you feel sorry for the husband ?
14610,i don t understand .,don t worry . you will .
14611,do you have a girlfriend creasy ?,no .
14612,no .,did you used to ?
14613,did you used to ?,yeah . two or three .
14614,you re late .,i m sorry .
14615,i m sorry .,you were never late before i was worried .
14616,where s my mother ?,i dropped her at home .
14617,i m not afraid you creasy .,i know you re not .
14618,i know you re not .,are you afraid of me ?
14619,the gunshot holds no fear . say it .,the gunshot holds no fear .
14620,what s so important in los angeles ?,your father has business .
14621,could i ask you a question ?,could i stop you ?
14622,could i stop you ?,you don t drink like you used to .
14623,you don t drink like you used to .,that s not a question .
14624,you re american .,so are you .
14625,you ve done much of this work before ?,never .
14626,it makes it all seem so serious .,it is serious mrs . ramos .
14627,sorry .,the traffic takes some getting used to .
14628,they planned it samuel and kalfus .,planned what ?
14629,rosanna guerrero .,it s creasy .
14630,it s creasy .,where are you ?
14631,last night . do you know something ?,what was her name ?
14632,what was her name ?,camila . camila valencias .
14633,you have the money .,yes .
14634,yes .,ok repeat the drop instructions .
14635,you should be sleeping baby .,i m trying mom .
14636,yes mom ?,this is mr . creasy .
14637,i like him mom .,you do ?
14638,bye mom .,don t forget your towel .
14639,my wife mr . creasy .,lisa martin ramos mr . creasy .
14640,i think it s nice he s american .,i think it s fantastic .
14641,she likes him .,hmm ?
14642,hmm ?,creasy . pinta likes him .
14643,he has to go samuel .,what ? who ?
14644,what ? who ?,creasy .
14645,creasy .,why ? you were so pleased with him .
14646,that s ridiculous .,it s not .
14647,i ve just been so busy lisa .,he has to go .
14648,two tourists who never went home .,you helped him get this job .
14649,you helped him get this job .,that s what friends do .
14650,hey herbie . . .,what ?
14651,what makes you say that ?,i could see she likes you .
14652,i could see she likes you .,yeah sure .
14653,yeah sure .,i ll call her up .
14654,where ?,down there . that little one there .
14655,you want me to ride down with you ?,what for ?
14656,what for ?,it s early .
14657,it s early .,it must be one o clock .
14658,all right i ll see you !,where you going ?
14659,i feel fine .,that s nice .
14660,it s her baby too you know .,that s my son thomas s baby .
14661,that s my son thomas s baby .,well it ain t your baby .
14662,what happen ?,she gave me the evil eye .
14663,when was this ?,this afternoon about four five o clock .
14664,this afternoon about four five o clock .,what they say ?
14665,it pains that they should do this .,i know it pains .
14666,who ?,marty .
14667,marty .,your son marty ?
14668,this is the kitchen .,yes i know .
14669,yes i know .,come on inna dining room .
14670,marty . . .,i just wanna kiss that s all .
14671,no . . .,please . . .
14672,please . . .,no . . .
14673,no . . .,please . . .
14674,please . . .,marty . . .
14675,waddaya doing tomorrow night ?,nothing .
14676,waddaya doing new year s eve ?,nothing .
14677,you got an elevator in this house ?,we just live one flight up .
14678,we just live one flight up .,so i ll call you tomorrow .
14679,so i ll call you tomorrow .,okay .
14680,goodnight mrs . pilletti .,goodnight .
14681,are you kidding ?,no i m not kidding .
14682,i m just here with another girl .,where you going now ?
14683,i ll see you around .,i ll see you .
14684,that s the one .,oh that s a sad story .
14685,what time is it ?,about eight o clock .
14686,boy beautiful day hey thomas ?,sure great if you ain t married .
14687,sure ma it s okay with me .,you gotta good heart .
14688,it s loaded with what ?,tomatoes .
14689,you gonna die without a son .,so i ll die without a son .
14690,so i ll die without a son .,put on your blue suit . . .
14691,marty . . .,ma ! leave me alone !
14692,hello ralph .,hey marty come over here a minute .
14693,that s swell missus fusari .,you should be ashamed of yourself .
14694,that s very nice a you aunt theresa .,we gotta ask marty of course .
14695,we gotta ask marty of course .,sure .
14696,hello aunt theresa .,hello thomas .
14697,hello aunt theresa .,hello thomas how do you feel ?
14698,on accounta . . .,i m gonna see you tonight . . .
14699,lemme tell it tommy .,okay .
14700,that s very nice a you aunt theresa .,how s marty been lately aunt theresa ?
14701,tommy . . .,i don t wanna talk about it !
14702,wadda you so sore about ?,oh shaddup will you do me a favor ?
14703,you talked to walt ?,he s parted his moorings .
14704,yes o reilly ?,how you radar ?
14705,that s right .,where ?
14706,where ?,hospital .
14707,hospital .,which hospital ?
14708,which hospital ?,back home .
14709,miss you walt .,he said it for us all walt .
14710,pulse slow very little pressure .,look at that right eye .
14711,look at that right eye .,epidural hematoma ?
14712,wisconsin .,same general idea .
14713,so long ho jon .,you make a mean martini kid .
14714,my name s hawkeye pierce .,duke forrest .
14715,what s the initials mp stand for hawkeye ?,shore patrol duke . let s go !
14716,christ almighty i think he means it !,we been had .
14717,no hawkeye just said it all .,except we forgot one other small thing .
14718,except we forgot one other small thing .,what s that ?
14719,what s that ?,the chest cutter .
14720,never heard of him .,sure you have only as spearchucker jones .
14721,sure you have only as spearchucker jones .,the nigra boy with the philadelphia eagles ?
14722,when ?,any time . whenever we want .
14723,any time . whenever we want .,be right with you .
14724,i have a tent to myself .,people will talk .
14725,i think it s a marvelous letter .,we re a good team .
14726,we re a good team .,we think the same way .
14727,ravenous . what about you ?,well sure if you are margaret . . .
14728,well sure if you are margaret . . .,anyway we want to get this letter off .
14729,frank . . .,don t stop now ! please . . .
14730,wait a second . . .,i can t . . . couldn t .
14731,i was just asking . . .,shut up or i ll tear you apart .
14732,but what about major houlihan ?,you mean hot lips ? screw her .
14733,you mean hot lips ? screw her .,n n no thanks g general .
14734,you betcher ass dad .,what ?
14735,is he out ?,like the rock of gibraltar .
14736,i don t feel anything .,oh jesus .
14737,all of them ?,that s right . we work well together .
14738,that s right . we work well together .,major burns is far from satisfied .
14739,the bastards outconned us .,i think we could still have a chance .
14740,see you .,it s possible
14741,it s possible,hang in there .
14742,no trouble at all . hawkeye .,how did you get called that ?
14743,you re an attractive man .,you have a certain modest charm yourself .
14744,you have a certain modest charm yourself .,but i m married .
14745,but i m married .,something else we have in common .
14746,something else we have in common .,very happily married .
14747,very happily married .,same here .
14748,even if i weren t .,maria . . .
14749,i couldn t have slept tonight anyhow .,you re leaving tomorrow ?
14750,second pint .,duke . . .
14751,i didn t have much choice .,you really say the cutest things .
14752,you really say the cutest things .,yeah !
14753,captain camembert ! captain camembert !,excuse me sergeant .
14754,excuse me sergeant .,yes reverend ?
14755,they missed the boat .,thanks .
14756,thanks .,glad to help .
14757,he s coming to .,let s get his clothes off quick .
14758,no never in the slightest .,just in dreams ?
14759,in the direction you want to go .,you guys got any black capsules ?
14760,morning painless . how they goin ?,big day . two jaws to rebuild .
14761,good morning captain pierce and captain forrest .,you can cut the bow .
14762,you can cut the bow .,i have not understood what you means .
14763,i have not understood what you means .,that . it s out of the act .
14764,what s going on ? who started this ?,you mean who hit who ?
14765,you mean who hit who ?,yes that s what i mean .
14766,o reilly !,yes sir ?
14767,to major burns tent . yes sir .,stop that o rielly !
14768,stop that o rielly !,sir ?
14769,sir ?,oh get out of here !
14770,oh get out of here !,yes colonel .
14771,good morning colonel .,morning radar . how were things ?
14772,morning radar . how were things ?,splendid sir . no problems .
14773,splendid sir . no problems .,morning captain .
14774,well there s one big satisfaction .,what s that henry ?
14775,what s that henry ?,i out coached that general hammond .
14776,morning girls . good morning major .,good morning .
14777,okay i m closing up . everybody relax .,may i have the surgeon s name please ?
14778,how is he ?,nice .
14779,nice .,arterial silk .
14780,nice .,boys we re home free .
14781,huh ?,are you all right ?
14782,are you all right ?,yeah i m all right .
14783,action ?,um hum .
14784,against what ?,against anything . just protest .
14785,against anything . just protest .,you got me .
14786,oh yuh did huh ?,yes !
14787,no .,of course not . he wouldn t be .
14788,of course not . he wouldn t be .,who ?
14789,who ?,john doe . the one in there .
14790,who ?,john doe the one in the speech .
14791,john doe the one in the speech .,oh . yeah .
14792,hello john .,hello .
14793,me ?,uh huh .
14794,can i help you pack ?,no thank you .
14795,ted sheldon .,yeah that s the one .
14796,yes sir .,how much money do you get ?
14797,how much money do you get ?,thirty dollars .
14798,oh somebody else sitting there ?,no no no that s your seat .
14799,oh !,go ahead open it open it .
